date,sales
2020-11-22,357
2020-11-23,339
2020-11-24,331
2020-11-25,331
2020-11-26,299
2020-11-27,254
2020-11-28,302
2020-11-29,264
2020-11-30,345
2020-12-01,288
2020-12-02,253
2020-12-03,277
2020-12-04,312
2020-12-05,261
2020-12-06,246
2020-12-07,298
2020-12-08,295
2020-12-09,255
2020-12-10,255
2020-12-11,287
2020-12-12,200
2020-12-13,199
2020-12-14,230
2020-12-15,252
2020-12-16,275
2020-12-17,330
2020-12-18,295
2020-12-19,241
2020-12-20,244
2020-12-21,191
2020-12-22,236
2020-12-23,219
2020-12-24,245
2020-12-25,484
2020-12-26,547
2020-12-27,593
2020-12-28,507
2020-12-29,528
2020-12-30,538
2020-12-31,479
2021-01-01,206
2021-01-02,192
2021-01-03,192
2021-01-04,144
2021-01-05,179
2021-01-06,199
2021-01-07,242
2021-01-08,214
2021-01-09,269
2021-01-10,119
2021-01-11,198
2021-01-12,159
2021-01-13,256
2021-01-14,102
2021-01-15,97
2021-01-16,106
2021-01-17,26
2021-01-18,103
2021-01-19,89
2021-01-20,131
2021-01-21,138
2021-01-22,212
2021-01-23,163
2021-01-24,85
2021-01-25,67
2021-01-26,134
2021-01-27,42
2021-01-28,198
2021-01-29,164
2021-01-30,80
2021-01-31,20
2021-02-01,169
2021-02-02,95
2021-02-03,162
2021-02-04,20
2021-02-05,70
2021-02-06,100
2021-02-07,102
2021-02-08,78
2021-02-09,132
2021-02-10,48
2021-02-11,95
2021-02-12,109
2021-02-13,130
2021-02-14,142
2021-02-15,52
2021-02-16,33
2021-02-17,175
2021-02-18,130
2021-02-19,78
2021-02-20,196
2021-02-21,127
2021-02-22,183
2021-02-23,130
2021-02-24,233
2021-02-25,220
2021-02-26,124
2021-02-27,188
2021-02-28,175
2021-03-01,215
2021-03-02,102
2021-03-03,188
2021-03-04,211
2021-03-05,74
2021-03-06,107
2021-03-07,68
2021-03-08,160
2021-03-09,214
2021-03-10,257
2021-03-11,190
2021-03-12,272
2021-03-13,126
2021-03-14,114
2021-03-15,201
2021-03-16,227
2021-03-17,211
2021-03-18,113
2021-03-19,216
2021-03-20,160
2021-03-21,263
2021-03-22,252
2021-03-23,190
2021-03-24,216
2021-03-25,192
2021-03-26,246
2021-03-27,300
2021-03-28,207
2021-03-29,285
2021-03-30,237
2021-03-31,227
2021-04-01,264
2021-04-02,221
2021-04-03,248
2021-04-04,218
2021-04-05,379
2021-04-06,285
2021-04-07,250
2021-04-08,298
2021-04-09,284
2021-04-10,280
2021-04-11,324
2021-04-12,332
2021-04-13,269
2021-04-14,268
2021-04-15,284
2021-04-16,183
2021-04-17,223
2021-04-18,368
2021-04-19,382
2021-04-20,287
2021-04-21,328
2021-04-22,314
2021-04-23,452
2021-04-24,354
2021-04-25,290
2021-04-26,248
2021-04-27,214
2021-04-28,303
2021-04-29,253
2021-04-30,218
2021-05-01,255
2021-05-02,231
2021-05-03,367
2021-05-04,325
2021-05-05,278
2021-05-06,349
2021-05-07,276
2021-05-08,226
2021-05-09,342
2021-05-10,290
2021-05-11,208
2021-05-12,247
2021-05-13,209
2021-05-14,180
2021-05-15,291
2021-05-16,337
2021-05-17,167
2021-05-18,261
2021-05-19,197
2021-05-20,201
2021-05-21,191
2021-05-22,173
2021-05-23,215
2021-05-24,167
2021-05-25,217
2021-05-26,197
2021-05-27,183
2021-05-28,146
2021-05-29,158
2021-05-30,220
2021-05-31,203
2021-06-01,125
2021-06-02,175
2021-06-03,203
2021-06-04,78
2021-06-05,185
2021-06-06,121
2021-06-07,179
2021-06-08,108
2021-06-09,53
2021-06-10,58
2021-06-11,138
2021-06-12,146
2021-06-13,84
2021-06-14,158
2021-06-15,41
2021-06-16,118
2021-06-17,58
2021-06-18,83
2021-06-19,116
2021-06-20,68
2021-06-21,90
2021-06-22,158
2021-06-23,77
2021-06-24,146
2021-06-25,47
2021-06-26,129
2021-06-27,173
2021-06-28,20
2021-06-29,60
2021-06-30,129
2021-07-01,89
2021-07-02,118
2021-07-03,70
2021-07-04,104
2021-07-05,93
2021-07-06,160
2021-07-07,115
2021-07-08,120
2021-07-09,84
2021-07-10,82
2021-07-11,86
2021-07-12,129
2021-07-13,90
2021-07-14,128
2021-07-15,220
2021-07-16,162
2021-07-17,105
2021-07-18,184
2021-07-19,106
2021-07-20,28
2021-07-21,82
2021-07-22,42
2021-07-23,122
2021-07-24,144
2021-07-25,230
2021-07-26,166
2021-07-27,143
2021-07-28,199
2021-07-29,51
2021-07-30,178
2021-07-31,208
2021-08-01,100
2021-08-02,235
2021-08-03,199
2021-08-04,166
2021-08-05,223
2021-08-06,309
2021-08-07,209
2021-08-08,216
2021-08-09,185
2021-08-10,170
2021-08-11,258
2021-08-12,178
2021-08-13,229
2021-08-14,205
2021-08-15,257
2021-08-16,254
2021-08-17,293
2021-08-18,220
2021-08-19,235
2021-08-20,204
2021-08-21,234
2021-08-22,279
2021-08-23,301
2021-08-24,220
2021-08-25,313
2021-08-26,340
2021-08-27,296
2021-08-28,372
2021-08-29,242
2021-08-30,221
2021-08-31,196
2021-09-01,362
2021-09-02,322
2021-09-03,288
2021-09-04,307
2021-09-05,238
2021-09-06,418
2021-09-07,303
2021-09-08,303
2021-09-09,335
2021-09-10,323
2021-09-11,310
2021-09-12,260
2021-09-13,323
2021-09-14,393
2021-09-15,366
2021-09-16,378
2021-09-17,272
2021-09-18,247
2021-09-19,289
2021-09-20,297
2021-09-21,348
2021-09-22,207
2021-09-23,366
2021-09-24,280
2021-09-25,264
2021-09-26,232
2021-09-27,198
2021-09-28,319
2021-09-29,279
2021-09-30,208
2021-10-01,205
2021-10-02,250
2021-10-03,346
2021-10-04,247
2021-10-05,181
2021-10-06,240
2021-10-07,235
2021-10-08,110
2021-10-09,239
2021-10-10,226
2021-10-11,268
2021-10-12,322
2021-10-13,281
2021-10-14,207
2021-10-15,161
2021-10-16,341
2021-10-17,211
2021-10-18,204
2021-10-19,198
2021-10-20,205
2021-10-21,184
2021-10-22,158
2021-10-23,155
2021-10-24,177
2021-10-25,147
2021-10-26,134
2021-10-27,171
2021-10-28,149
2021-10-29,233
2021-10-30,21
2021-10-31,205
2021-11-01,209
2021-11-02,39
2021-11-03,122
2021-11-04,117
2021-11-05,62
2021-11-06,91
2021-11-07,71
2021-11-08,211
2021-11-09,168
2021-11-10,182
2021-11-11,152
2021-11-12,57
2021-11-13,85
2021-11-14,134
2021-11-15,47
2021-11-16,142
2021-11-17,93
2021-11-18,85
2021-11-19,138
2021-11-20,124
2021-11-21,83
2021-11-22,158
2021-11-23,46
2021-11-24,130
2021-11-25,129
2021-11-26,84
2021-11-27,116
2021-11-28,38
2021-11-29,148
2021-11-30,93
2021-12-01,77
2021-12-02,157
2021-12-03,71
2021-12-04,37
2021-12-05,32
2021-12-06,142
2021-12-07,50
2021-12-08,204
2021-12-09,20
2021-12-10,206
2021-12-11,134
2021-12-12,122
2021-12-13,102
2021-12-14,153
2021-12-15,134
2021-12-16,195
2021-12-17,149
2021-12-18,154
2021-12-19,132
2021-12-20,151
2021-12-21,173
2021-12-22,76
2021-12-23,98
2021-12-24,207
2021-12-25,483
2021-12-26,469
2021-12-27,483
2021-12-28,504
2021-12-29,464
2021-12-30,456
2021-12-31,509
2022-01-01,155
2022-01-02,229
2022-01-03,127
2022-01-04,268
2022-01-05,244
2022-01-06,238
2022-01-07,278
2022-01-08,317
2022-01-09,288
2022-01-10,149
2022-01-11,181
2022-01-12,218
2022-01-13,254
2022-01-14,282
2022-01-15,223
2022-01-16,272
2022-01-17,229
2022-01-18,239
2022-01-19,202
2022-01-20,229
2022-01-21,210
2022-01-22,232
2022-01-23,336
2022-01-24,238
2022-01-25,419
2022-01-26,314
2022-01-27,301
2022-01-28,250
2022-01-29,329
2022-01-30,267
2022-01-31,303
2022-02-01,426
2022-02-02,294
2022-02-03,356
2022-02-04,264
2022-02-05,298
2022-02-06,388
2022-02-07,268
2022-02-08,390
2022-02-09,334
2022-02-10,270
2022-02-11,328
2022-02-12,344
2022-02-13,325
2022-02-14,214
2022-02-15,255
2022-02-16,277
2022-02-17,284
2022-02-18,316
2022-02-19,292
2022-02-20,214
2022-02-21,297
2022-02-22,306
2022-02-23,300
2022-02-24,323
2022-02-25,308
2022-02-26,286
2022-02-27,256
2022-02-28,173
2022-03-01,274
2022-03-02,259
2022-03-03,259
2022-03-04,177
2022-03-05,183
2022-03-06,286
2022-03-07,227
2022-03-08,259
2022-03-09,222
2022-03-10,218
2022-03-11,259
2022-03-12,182
2022-03-13,209
2022-03-14,176
2022-03-15,173
2022-03-16,175
2022-03-17,198
2022-03-18,158
2022-03-19,241
2022-03-20,129
2022-03-21,160
2022-03-22,144
2022-03-23,234
2022-03-24,168
2022-03-25,206
2022-03-26,76
2022-03-27,160
2022-03-28,187
2022-03-29,143
2022-03-30,189
2022-03-31,107
2022-04-01,200
2022-04-02,241
2022-04-03,106
2022-04-04,99
2022-04-05,191
2022-04-06,195
2022-04-07,87
2022-04-08,90
2022-04-09,95
2022-04-10,41
2022-04-11,60
2022-04-12,54
2022-04-13,65
2022-04-14,101
2022-04-15,113
2022-04-16,178
2022-04-17,50
2022-04-18,149
2022-04-19,89
2022-04-20,97
2022-04-21,133
2022-04-22,44
2022-04-23,120
2022-04-24,110
2022-04-25,127
2022-04-26,118
2022-04-27,227
2022-04-28,74
2022-04-29,81
2022-04-30,78
2022-05-01,84
2022-05-02,82
2022-05-03,175
2022-05-04,189
2022-05-05,92
2022-05-06,82
2022-05-07,150
2022-05-08,102
2022-05-09,164
2022-05-10,146
2022-05-11,64
2022-05-12,220
2022-05-13,236
2022-05-14,119
2022-05-15,135
2022-05-16,172
2022-05-17,178
2022-05-18,199
2022-05-19,270
2022-05-20,165
2022-05-21,138
2022-05-22,113
2022-05-23,150
2022-05-24,189
2022-05-25,285
2022-05-26,174
2022-05-27,215
2022-05-28,207
2022-05-29,272
2022-05-30,343
2022-05-31,194
2022-06-01,201
2022-06-02,281
2022-06-03,267
2022-06-04,330
2022-06-05,270
2022-06-06,227
2022-06-07,278
2022-06-08,308
2022-06-09,297
2022-06-10,285
2022-06-11,316
2022-06-12,325
2022-06-13,339
2022-06-14,305
2022-06-15,267
2022-06-16,285
2022-06-17,341
2022-06-18,242
2022-06-19,304
2022-06-20,268
2022-06-21,291
2022-06-22,355
2022-06-23,302
2022-06-24,297
2022-06-25,228
2022-06-26,334
2022-06-27,330
2022-06-28,407
2022-06-29,284
2022-06-30,310
2022-07-01,312
2022-07-02,378
2022-07-03,295
2022-07-04,313
2022-07-05,329
2022-07-06,307
2022-07-07,274
2022-07-08,305
2022-07-09,348
2022-07-10,242
2022-07-11,298
2022-07-12,254
2022-07-13,347
2022-07-14,209
2022-07-15,255
2022-07-16,300
2022-07-17,356
2022-07-18,272
2022-07-19,245
2022-07-20,364
2022-07-21,194
2022-07-22,153
2022-07-23,282
2022-07-24,231
2022-07-25,202
2022-07-26,284
2022-07-27,257
2022-07-28,213
2022-07-29,173
2022-07-30,277
2022-07-31,262
2022-08-01,220
2022-08-02,313
2022-08-03,163
2022-08-04,136
2022-08-05,174
2022-08-06,202
2022-08-07,212
2022-08-08,183
2022-08-09,209
2022-08-10,124
2022-08-11,255
2022-08-12,174
2022-08-13,230
2022-08-14,187
2022-08-15,189
2022-08-16,190
2022-08-17,180
2022-08-18,186
2022-08-19,217
2022-08-20,156
2022-08-21,178
2022-08-22,135
2022-08-23,208
2022-08-24,99
2022-08-25,220
2022-08-26,125
2022-08-27,52
2022-08-28,127
2022-08-29,84
2022-08-30,158
2022-08-31,81
2022-09-01,89
2022-09-02,20
2022-09-03,85
2022-09-04,20
2022-09-05,25
2022-09-06,141
2022-09-07,142
2022-09-08,123
2022-09-09,52
2022-09-10,98
2022-09-11,100
2022-09-12,42
2022-09-13,175
2022-09-14,144
2022-09-15,89
2022-09-16,102
2022-09-17,112
2022-09-18,20
2022-09-19,91
2022-09-20,71
2022-09-21,56
2022-09-22,94
2022-09-23,199
2022-09-24,144
2022-09-25,85
2022-09-26,145
2022-09-27,188
2022-09-28,167
2022-09-29,127
2022-09-30,94
2022-10-01,164
2022-10-02,152
2022-10-03,181
2022-10-04,171
2022-10-05,195
2022-10-06,120
2022-10-07,216
2022-10-08,164
2022-10-09,262
2022-10-10,127
2022-10-11,253
2022-10-12,180
2022-10-13,141
2022-10-14,154
2022-10-15,166
2022-10-16,208
2022-10-17,217
2022-10-18,167
2022-10-19,198
2022-10-20,311
2022-10-21,294
2022-10-22,234
2022-10-23,219
2022-10-24,227
2022-10-25,256
2022-10-26,178
2022-10-27,220
2022-10-28,154
2022-10-29,261
2022-10-30,277
2022-10-31,225
2022-11-01,331
2022-11-02,195
2022-11-03,186
2022-11-04,274
2022-11-05,319
2022-11-06,354
2022-11-07,250
2022-11-08,329
2022-11-09,276
2022-11-10,272
2022-11-11,327
2022-11-12,318
2022-11-13,209
2022-11-14,363
2022-11-15,360
2022-11-16,262
2022-11-17,314
2022-11-18,320
2022-11-19,310
2022-11-20,270
2022-11-21,265
2022-11-22,298
2022-11-23,358
2022-11-24,327
2022-11-25,281
2022-11-26,338
2022-11-27,156
2022-11-28,356
2022-11-29,211
2022-11-30,279
2022-12-01,240
2022-12-02,230
2022-12-03,351
2022-12-04,268
2022-12-05,307
2022-12-06,285
2022-12-07,309
2022-12-08,287
2022-12-09,217
2022-12-10,328
2022-12-11,251
2022-12-12,195
2022-12-13,248
2022-12-14,341
2022-12-15,306
2022-12-16,242
2022-12-17,239
2022-12-18,236
2022-12-19,353
2022-12-20,264
2022-12-21,263
2022-12-22,289
2022-12-23,245
2022-12-24,216
2022-12-25,515
2022-12-26,517
2022-12-27,515
2022-12-28,549
2022-12-29,511
2022-12-30,540
2022-12-31,495
2023-01-01,199
2023-01-02,91
2023-01-03,232
2023-01-04,200
2023-01-05,228
2023-01-06,29
2023-01-07,274
2023-01-08,159
2023-01-09,217
2023-01-10,106
2023-01-11,185
2023-01-12,97
2023-01-13,115
2023-01-14,239
2023-01-15,130
2023-01-16,147
2023-01-17,176
2023-01-18,154
2023-01-19,134
2023-01-20,142
2023-01-21,241
2023-01-22,115
2023-01-23,126
2023-01-24,166
2023-01-25,167
2023-01-26,169
2023-01-27,140
2023-01-28,49
2023-01-29,186
2023-01-30,46
2023-01-31,117
2023-02-01,64
2023-02-02,97
2023-02-03,117
2023-02-04,116
2023-02-05,121
2023-02-06,180
2023-02-07,122
2023-02-08,88
2023-02-09,149
2023-02-10,161
2023-02-11,41
2023-02-12,133
2023-02-13,140
2023-02-14,91
2023-02-15,177
2023-02-16,102
2023-02-17,118
2023-02-18,105
2023-02-19,117
2023-02-20,64
2023-02-21,49
2023-02-22,203
2023-02-23,84
2023-02-24,80
2023-02-25,25
2023-02-26,104
2023-02-27,73
2023-02-28,225
2023-03-01,197
2023-03-02,116
2023-03-03,267
2023-03-04,207
2023-03-05,145
2023-03-06,41
2023-03-07,284
2023-03-08,104
2023-03-09,96
2023-03-10,233
2023-03-11,309
2023-03-12,260
2023-03-13,223
2023-03-14,229
2023-03-15,246
2023-03-16,246
2023-03-17,226
2023-03-18,222
2023-03-19,218
2023-03-20,187
2023-03-21,215
2023-03-22,149
2023-03-23,232
2023-03-24,192
2023-03-25,190
2023-03-26,258
2023-03-27,322
2023-03-28,302
2023-03-29,181
2023-03-30,214
2023-03-31,313
2023-04-01,220
2023-04-02,261
2023-04-03,303
2023-04-04,230
2023-04-05,286
2023-04-06,216
2023-04-07,255
2023-04-08,303
2023-04-09,210
2023-04-10,313
2023-04-11,292
2023-04-12,322
2023-04-13,307
2023-04-14,365
2023-04-15,304
2023-04-16,277
2023-04-17,305
2023-04-18,326
2023-04-19,302
2023-04-20,302
2023-04-21,264
2023-04-22,266
2023-04-23,228
2023-04-24,385
2023-04-25,235
2023-04-26,261
2023-04-27,258
2023-04-28,338
2023-04-29,277
2023-04-30,352
2023-05-01,254
2023-05-02,299
2023-05-03,241
2023-05-04,388
2023-05-05,219
2023-05-06,291
2023-05-07,304
2023-05-08,290
2023-05-09,257
2023-05-10,257
2023-05-11,262
2023-05-12,249
2023-05-13,301
2023-05-14,359
2023-05-15,217
2023-05-16,173
2023-05-17,233
2023-05-18,362
2023-05-19,189
2023-05-20,307
2023-05-21,305
2023-05-22,189
2023-05-23,241
2023-05-24,290
2023-05-25,185
2023-05-26,189
2023-05-27,166
2023-05-28,140
2023-05-29,154
2023-05-30,121
2023-05-31,180
2023-06-01,135
2023-06-02,182
2023-06-03,88
2023-06-04,178
2023-06-05,199
2023-06-06,54
2023-06-07,169
2023-06-08,208
2023-06-09,82
2023-06-10,223
2023-06-11,157
2023-06-12,97
2023-06-13,127
2023-06-14,154
2023-06-15,127
2023-06-16,148
2023-06-17,72
2023-06-18,124
2023-06-19,43
2023-06-20,106
2023-06-21,64
2023-06-22,71
2023-06-23,168
2023-06-24,159
2023-06-25,134
2023-06-26,48
2023-06-27,86
2023-06-28,161
2023-06-29,107
2023-06-30,216
2023-07-01,119
2023-07-02,109
2023-07-03,84
2023-07-04,107
2023-07-05,93
2023-07-06,137
2023-07-07,150
2023-07-08,64
2023-07-09,38
2023-07-10,20
2023-07-11,133
2023-07-12,54
2023-07-13,20
2023-07-14,133
2023-07-15,241
2023-07-16,118
2023-07-17,163
2023-07-18,128
2023-07-19,122
2023-07-20,176
2023-07-21,118
2023-07-22,149
2023-07-23,155
2023-07-24,109
2023-07-25,196
2023-07-26,141
2023-07-27,116
2023-07-28,185
2023-07-29,117
2023-07-30,167
2023-07-31,169
2023-08-01,228
2023-08-02,202
2023-08-03,181
2023-08-04,228
2023-08-05,260
2023-08-06,223
2023-08-07,200
2023-08-08,138
2023-08-09,155
2023-08-10,197
2023-08-11,186
2023-08-12,212
2023-08-13,228
2023-08-14,256
2023-08-15,230
2023-08-16,262
2023-08-17,244
2023-08-18,146
2023-08-19,202
2023-08-20,245
2023-08-21,196
2023-08-22,290
2023-08-23,340
2023-08-24,327
2023-08-25,259
2023-08-26,347
2023-08-27,283
2023-08-28,261
2023-08-29,250
2023-08-30,268
2023-08-31,266
2023-09-01,296
2023-09-02,297
2023-09-03,291
2023-09-04,315
2023-09-05,354
2023-09-06,343
2023-09-07,222
2023-09-08,170
2023-09-09,345
2023-09-10,231
2023-09-11,288
2023-09-12,241
2023-09-13,209
2023-09-14,326
2023-09-15,337
2023-09-16,270
2023-09-17,168
2023-09-18,269
2023-09-19,315
2023-09-20,220
2023-09-21,302
2023-09-22,290
2023-09-23,318
2023-09-24,293
2023-09-25,237
2023-09-26,343
2023-09-27,273
2023-09-28,277
2023-09-29,229
2023-09-30,250
2023-10-01,225
2023-10-02,258
2023-10-03,349
2023-10-04,191
2023-10-05,175
2023-10-06,326
2023-10-07,238
2023-10-08,212
2023-10-09,293
2023-10-10,207
2023-10-11,325
2023-10-12,263
2023-10-13,201
2023-10-14,329
2023-10-15,186
2023-10-16,249
2023-10-17,223
2023-10-18,269
2023-10-19,278
2023-10-20,197
2023-10-21,153
2023-10-22,210
2023-10-23,148
2023-10-24,279
2023-10-25,181
2023-10-26,152
2023-10-27,175
2023-10-28,94
2023-10-29,109
2023-10-30,214
2023-10-31,117
2023-11-01,94
2023-11-02,170
2023-11-03,199
2023-11-04,172
2023-11-05,182
2023-11-06,92
2023-11-07,55
2023-11-08,199
2023-11-09,105
2023-11-10,106
2023-11-11,182
2023-11-12,141
2023-11-13,134
2023-11-14,218
2023-11-15,76
2023-11-16,153
2023-11-17,108
2023-11-18,117
2023-11-19,179
2023-11-20,127
2023-11-21,128
2023-11-22,154
2023-11-23,81
2023-11-24,58
2023-11-25,47
2023-11-26,20
2023-11-27,203
2023-11-28,45
2023-11-29,90
2023-11-30,88
2023-12-01,119
2023-12-02,145
2023-12-03,149
2023-12-04,79
2023-12-05,101
2023-12-06,126
2023-12-07,101
2023-12-08,196
2023-12-09,143
2023-12-10,158
2023-12-11,157
2023-12-12,185
2023-12-13,139
2023-12-14,68
2023-12-15,156
2023-12-16,107
2023-12-17,116
2023-12-18,176
2023-12-19,212
2023-12-20,155
2023-12-21,173
2023-12-22,247
2023-12-23,178
2023-12-24,300
2023-12-25,502
2023-12-26,390
2023-12-27,520
2023-12-28,506
2023-12-29,555
2023-12-30,529
2023-12-31,493
