date,sales
2023-09-10,336
2023-09-11,222
2023-09-12,201
2023-09-13,217
2023-09-14,224
2023-09-15,188
2023-09-16,169
2023-09-17,154
2023-09-18,258
2023-09-19,342
2023-09-20,189
2023-09-21,227
2023-09-22,173
2023-09-23,135
2023-09-24,165
2023-09-25,393
2023-09-26,226
2023-09-27,234
2023-09-28,203
2023-09-29,416
2023-09-30,211
2023-10-01,195
2023-10-02,263
2023-10-03,240
2023-10-04,209
2023-10-05,281
2023-10-06,240
2023-10-07,231
2023-10-08,211
2023-10-09,262
2023-10-10,215
2023-10-11,261
2023-10-12,412
2023-10-13,272
2023-10-14,223
2023-10-15,224
2023-10-16,263
2023-10-17,260
2023-10-18,261
2023-10-19,230
2023-10-20,281
2023-10-21,246
2023-10-22,355
2023-10-23,240
2023-10-24,274
2023-10-25,222
2023-10-26,202
2023-10-27,227
2023-10-28,158
2023-10-29,202
2023-10-30,256
2023-10-31,378
2023-11-01,222
2023-11-02,250
2023-11-03,193
2023-11-04,162
2023-11-05,197
2023-11-06,186
2023-11-07,224
2023-11-08,145
2023-11-09,192
2023-11-10,139
2023-11-11,129
2023-11-12,153
2023-11-13,247
2023-11-14,220
2023-11-15,327
2023-11-16,215
2023-11-17,171
2023-11-18,116
2023-11-19,259
2023-11-20,205
2023-11-21,281
2023-11-22,194
2023-11-23,158
2023-11-24,168
2023-11-25,147
2023-11-26,122
2023-11-27,356
2023-11-28,338
2023-11-29,140
2023-11-30,167
2023-12-01,176
2023-12-02,80
2023-12-03,155
2023-12-04,193
2023-12-05,157
2023-12-06,262
2023-12-07,189
2023-12-08,212
2023-12-09,68
2023-12-10,158
2023-12-11,179
2023-12-12,118
2023-12-13,315
2023-12-14,103
2023-12-15,111
2023-12-16,257
2023-12-17,113
2023-12-18,347
2023-12-19,173
2023-12-20,188
2023-12-21,90
2023-12-22,269
2023-12-23,127
2023-12-24,284
2023-12-25,180
2023-12-26,168
2023-12-27,178
2023-12-28,106
2023-12-29,154
2023-12-30,297
2023-12-31,85
